text,gold_label,llm_label,rule_label,ml_label,flag_reason
Streaming platform Action Hero added City Life new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Cybersecurity experts warn about new 5G connectivity vulnerability in Apple systems,tech,sports,tech,tech,Rule suggests 'tech' but LLM predicted 'sports'; ML suggests 'tech' but LLM predicted 'sports'
Congress passed the new Wilson bill with a Brown majority,politics,sports,politics,politics,Rule suggests 'politics' but LLM predicted 'sports'; ML suggests 'politics' but LLM predicted 'sports'
Actor 150 will star in the upcoming Williams film,entertainment,tech,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'tech'; ML suggests 'entertainment' but LLM predicted 'tech'
Fans cheered loudly as Madison Square Garden scored the winning goal,sports,entertainment,sports,sports,Rule suggests 'sports' but LLM predicted 'entertainment'; ML suggests 'sports' but LLM predicted 'entertainment'
Developers released version Amazon of the popular fingerprint scanner software,tech,entertainment,tech,tech,Rule suggests 'tech' but LLM predicted 'entertainment'; ML suggests 'tech' but LLM predicted 'entertainment'
Streaming platform Drama Queen added Comedy Central new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
67 defeated basketball in a thrilling overtime victory,sports,entertainment,sports,sports,Rule suggests 'sports' but LLM predicted 'entertainment'; ML suggests 'sports' but LLM predicted 'entertainment'
Streaming platform Radio City added Mystery Night new original series,entertainment,politics,tech,entertainment,Rule suggests 'tech' but LLM predicted 'politics'; ML suggests 'entertainment' but LLM predicted 'politics'
Streaming platform Action Hero added 30 new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Streaming platform Comedy Central added Lollapalooza new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Streaming platform Hollywood Bowl added Davis new original series,entertainment,entertainment,tech,,Rule suggests 'tech' but LLM predicted 'entertainment'
Actor Mystery Hour will star in the upcoming Drama Queen film,entertainment,politics,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'politics'; ML suggests 'entertainment' but LLM predicted 'politics'
Musician Drama Queen released a new album featuring Brown songs,entertainment,sports,entertainment,entertainment,Rule suggests 'entertainment' but LLM predicted 'sports'; ML suggests 'entertainment' but LLM predicted 'sports'
Wembley defeated Yankee Stadium in a thrilling overtime victory,sports,politics,sports,sports,Rule suggests 'sports' but LLM predicted 'politics'; ML suggests 'sports' but LLM predicted 'politics'
