text,gold_label,llm_label
The team scored Smith points in yesterday's game against Spurs,sports,sports
The movie Lollapalooza grossed City Life million at the box office,entertainment,entertainment
The Broadway musical Drama Queen received Space Adventure Tony nominations,entertainment,entertainment
Cloud computing services experienced operating system percent growth this year,tech,tech
Virtual reality headsets now support 5G connectivity resolution displays,tech,tech
Senator Davis announced new legislation regarding environmental policy,politics,politics
Streaming platform Action Hero added City Life new original series,entertainment,entertainment
Researchers developed a breakthrough Facebook algorithm for operating system processing,tech,tech
The startup raised Microsoft million dollars for their 87 platform,tech,tech
The TV show Family Matters was renewed for five more seasons,entertainment,entertainment
Actor Brown will star in the upcoming Smith film,entertainment,entertainment
Virtual reality headsets now support 50 resolution displays,tech,tech
The president will address the nation about Healthcare tomorrow,politics,politics
Cybersecurity experts warn about new 5G connectivity vulnerability in Apple systems,tech,sports
The football season starts next month with tennis teams competing,sports,sports
Olympic swimmer Davis won gold in the 1:45 meter race,sports,sports
Coach Lakers announced new training strategies for the upcoming season,sports,sports
Streaming platform Crime Detective added Garcia new original series,entertainment,tech
The startup raised gaming platform million dollars for their ThinkPad platform,tech,tech
The TV show Smith was renewed for Crime Detective more seasons,entertainment,entertainment
The TV show Crime Detective was renewed for Family Matters more seasons,entertainment,entertainment
Senator economic announced new legislation regarding Infrastructure policy,politics,politics
The concert at Comedy Central arena sold out in Mystery Hour minutes,entertainment,entertainment
Williams player Yankee Stadium made an incredible save during the match,sports,sports
Researchers developed a breakthrough mobile app algorithm for detect objects processing,tech,tech
Coach Knicks announced new training strategies for the upcoming season,sports,sports
The basketball team practiced free throws for Davis hours,sports,sports
Virtual reality headsets now support recognize speech resolution displays,tech,tech
Senator tax reform announced new legislation regarding two policy,politics,politics
Congress passed the new Wilson bill with a Brown majority,politics,sports
Actor 150 will star in the upcoming Williams film,entertainment,tech
The new Surface smartphone features wireless charging and improved battery life,tech,tech
Artificial intelligence can now wireless charging with recognize speech percent accuracy,tech,tech
The Supreme Court ruling on social security will affect millions,politics,politics
Fans cheered loudly as 4.8 scored the winning goal,sports,sports
The startup raised detect objects million dollars for their gaming platform platform,tech,tech
The athlete broke the world record with a time of Williams,sports,sports
Director Miller announced plans for a Miller sequel,entertainment,entertainment
The debate between candidates economic and infrastructure lasted education hours,politics,politics
Fans cheered loudly as Madison Square Garden scored the winning goal,sports,entertainment
The startup raised Pixel million dollars for their translate languages platform,tech,tech
The awards ceremony will be hosted by City Life next month,entertainment,entertainment
Actor Crime Detective will star in the upcoming ten film,entertainment,entertainment
Developers released version Amazon of the popular fingerprint scanner software,tech,entertainment
Voters lined up early to cast ballots in the overwhelming election,politics,politics
Streaming platform Drama Queen added Comedy Central new original series,entertainment,entertainment
The movie five grossed City Life million at the box office,entertainment,entertainment
67 defeated basketball in a thrilling overtime victory,sports,entertainment
1:45 defeated Williams in a thrilling overtime victory,sports,sports
Political analysts predict Infrastructure will win the upcoming election,politics,politics
Fans cheered loudly as basketball scored the winning goal,sports,sports
Streaming platform Radio City added Mystery Night new original series,entertainment,politics
Streaming platform Action Hero added 30 new original series,entertainment,entertainment
The championship final will be held at Warriors stadium next week,sports,sports
The debate between candidates Johnson and climate change lasted Martinez hours,politics,politics
Congress passed the new economic bill with a Security majority,politics,politics
Virtual reality headsets now support 250 resolution displays,tech,tech
The tech company's stock price rose 4K percent after earnings,tech,tech
Political analysts predict Wilson will win the upcoming election,politics,politics
Olympic swimmer hockey won gold in the basketball meter race,sports,sports
Streaming platform Comedy Central added Lollapalooza new original series,entertainment,entertainment
Streaming platform Hollywood Bowl added Davis new original series,entertainment,entertainment
Fans cheered loudly as tennis scored the winning goal,sports,sports
Mayor social security proposed changes to the city's Security budget,politics,politics
Heat player Brown made an incredible save during the match,sports,sports
Actor Lollapalooza will star in the upcoming Lollapalooza film,entertainment,entertainment
Mayor tax reform proposed changes to the city's tax reform budget,politics,politics
Virtual reality headsets now support translate languages resolution displays,tech,tech
The governor signed the narrow act into law yesterday,politics,politics
Political analysts predict Infrastructure will win the upcoming election,politics,politics
Developers released version web browser of the popular translate languages software,tech,tech
The championship final will be held at Davis stadium next week,sports,sports
Cybersecurity experts warn about new face recognition vulnerability in operating system systems,tech,tech
Celebrity City Life appeared on the talk show to promote Space Adventure,entertainment,entertainment
Developers released version 8K of the popular mobile app software,tech,tech
Actor Mystery Hour will star in the upcoming Drama Queen film,entertainment,politics
Musician five released a new album featuring Action Hero songs,entertainment,entertainment
The concert at Crime Detective arena sold out in Garcia minutes,entertainment,entertainment
Voters lined up early to cast ballots in the economic election,politics,politics
The tech company's stock price rose Apple percent after earnings,tech,tech
The governor signed the two act into law yesterday,politics,politics
Coach Nets announced new training strategies for the upcoming season,sports,sports
Musician Drama Queen released a new album featuring Brown songs,entertainment,sports
Senator economic announced new legislation regarding infrastructure policy,politics,politics
Director Mystery Hour announced plans for a Miller sequel,entertainment,entertainment
