text,llm_label,confidence,gold_label
The startup raised algorithm million dollars for their cloud platform,tech,0.706,tech
Artificial intelligence can now AI with AI percent accuracy,tech,0.756,tech
Cybersecurity experts warn about new AI vulnerability,tech,0.869,tech
The debate between candidates Johnson and Infrastructure lasted hours,politics,0.722,politics
Senator Wilson announced new legislation regarding election policy,politics,0.707,politics
Congress passed the new Wilson bill with majority support,politics,0.826,politics
Smith defeated Smith in a thrilling overtime victory,politics,0.879,sports
The team scored Warriors points in yesterday's game against Smith,sports,0.805,sports
Actor five will star in the upcoming five film,entertainment,0.77,entertainment
Director five announced plans for a Action Hero sequel,entertainment,0.89,entertainment
Director five announced plans for a five sequel,entertainment,0.806,entertainment
The team scored Smith points in yesterday's game against Johnson,sports,0.754,sports
The movie Hollywood Bowl grossed Action Hero million at the box office,entertainment,0.726,entertainment
Coach Lakers announced new training strategies for the season,sports,0.79,sports
The concert at five arena sold out in five minutes,entertainment,0.766,entertainment
The team scored Lakers points in yesterday's game against Lakers,tech,0.834,sports
Voters lined up early to cast ballots in the election election,politics,0.795,politics
Warriors player Smith made an incredible save during the match,sports,0.907,sports
The new iPhone smartphone features algorithm and improved battery life,tech,0.915,tech
Voters lined up early to cast ballots in the Wilson election,politics,0.876,politics
Developers released version Google of the popular cloud software,sports,0.893,tech
Artificial intelligence can now AI with Google percent accuracy,tech,0.914,tech
Developers released version iPhone of the popular algorithm software,tech,0.795,tech
Developers released version iPhone of the popular algorithm software,tech,0.909,tech
Artificial intelligence can now iPhone with AI percent accuracy,tech,0.789,tech
Developers released version cloud of the popular AI software,tech,0.875,tech
Developers released version iPhone of the popular cloud software,tech,0.718,tech
The movie five grossed Mystery Night million at the box office,entertainment,0.834,entertainment
Warriors defeated Smith in a thrilling overtime victory,sports,0.816,sports
Actor Johnson will star in the upcoming Mystery Night film,entertainment,0.931,entertainment
Senator election announced new legislation regarding healthcare policy,politics,0.755,politics
Actor Mystery Night will star in the upcoming Mystery Night film,entertainment,0.892,entertainment
Congress passed the new Johnson bill with majority support,sports,0.901,politics
The movie Hollywood Bowl grossed Mystery Night million at the box office,entertainment,0.717,entertainment
Actor Hollywood Bowl will star in the upcoming Johnson film,entertainment,0.842,entertainment
The new algorithm smartphone features algorithm and improved battery life,tech,0.753,tech
The startup raised algorithm million dollars for their cloud platform,tech,0.921,tech
Developers released version AI of the popular iPhone software,tech,0.736,tech
Director Hollywood Bowl announced plans for a five sequel,tech,0.84,entertainment
The new AI smartphone features Google and improved battery life,tech,0.846,tech
Coach Smith announced new training strategies for the season,sports,0.8,sports
The president will address the nation about healthcare tomorrow,politics,0.949,politics
Coach Johnson announced new training strategies for the season,sports,0.723,sports
Coach Madison Square Garden announced new training strategies for the season,politics,0.738,sports
The debate between candidates healthcare and election lasted hours,politics,0.87,politics
The new Google smartphone features algorithm and improved battery life,tech,0.796,tech
The championship final will be held at Johnson stadium next week,sports,0.817,sports
The concert at Mystery Night arena sold out in Action Hero minutes,entertainment,0.838,entertainment
Developers released version Google of the popular cloud software,tech,0.87,tech
The debate between candidates election and Johnson lasted hours,entertainment,0.888,politics
Smith defeated Lakers in a thrilling overtime victory,sports,0.785,sports
Coach Warriors announced new training strategies for the season,sports,0.74,sports
Coach Smith announced new training strategies for the season,entertainment,0.919,sports
Actor Hollywood Bowl will star in the upcoming five film,entertainment,0.825,entertainment
Smith player Smith made an incredible save during the match,sports,0.928,sports
Developers released version algorithm of the popular Google software,tech,0.775,tech
Director Action Hero announced plans for a Johnson sequel,entertainment,0.852,entertainment
The new Google smartphone features AI and improved battery life,tech,0.891,tech
The championship final will be held at Johnson stadium next week,sports,0.895,sports
Congress passed the new Infrastructure bill with majority support,politics,0.7,politics
The movie Action Hero grossed Hollywood Bowl million at the box office,entertainment,0.705,entertainment
The startup raised AI million dollars for their AI platform,tech,0.92,tech
The startup raised cloud million dollars for their algorithm platform,tech,0.777,tech
Cybersecurity experts warn about new cloud vulnerability,entertainment,0.937,tech
The team scored Madison Square Garden points in yesterday's game against Madison Square Garden,tech,0.904,sports
The movie five grossed Mystery Night million at the box office,entertainment,0.833,entertainment
Senator Wilson announced new legislation regarding Wilson policy,entertainment,0.819,politics
The concert at Hollywood Bowl arena sold out in Action Hero minutes,entertainment,0.766,entertainment
Artificial intelligence can now AI with AI percent accuracy,tech,0.806,tech
Cybersecurity experts warn about new Google vulnerability,tech,0.835,tech
The debate between candidates Infrastructure and election lasted hours,politics,0.75,politics
Developers released version iPhone of the popular cloud software,tech,0.949,tech
Coach Warriors announced new training strategies for the season,sports,0.81,sports
The team scored Madison Square Garden points in yesterday's game against Johnson,sports,0.73,sports
Coach Lakers announced new training strategies for the season,sports,0.785,sports
Congress passed the new Infrastructure bill with majority support,politics,0.758,politics
The startup raised AI million dollars for their AI platform,tech,0.718,tech
Voters lined up early to cast ballots in the Johnson election,politics,0.757,politics
Voters lined up early to cast ballots in the healthcare election,politics,0.915,politics
The team scored Johnson points in yesterday's game against Johnson,politics,0.77,sports
The debate between candidates election and Johnson lasted hours,politics,0.835,politics
The TV show Mystery Night was renewed for five more seasons,entertainment,0.921,entertainment
Coach Lakers announced new training strategies for the season,sports,0.761,sports
Actor Johnson will star in the upcoming Hollywood Bowl film,entertainment,0.802,entertainment
Actor Mystery Night will star in the upcoming Johnson film,tech,0.808,entertainment
The championship final will be held at Lakers stadium next week,sports,0.817,sports
