text,llm_label,confidence,gold_label,rule_label,rule_flag,needs_review,corrected_label
The startup raised algorithm million dollars for their cloud platform,tech,0.706,tech,tech,,False,tech
Artificial intelligence can now AI with AI percent accuracy,tech,0.756,tech,tech,,False,tech
Cybersecurity experts warn about new AI vulnerability,tech,0.869,tech,tech,,False,tech
The debate between candidates Johnson and Infrastructure lasted hours,politics,0.722,politics,politics,,False,politics
Senator Wilson announced new legislation regarding election policy,politics,0.707,politics,politics,,False,politics
Congress passed the new Wilson bill with majority support,politics,0.826,politics,politics,,False,politics
Smith defeated Smith in a thrilling overtime victory,politics,0.879,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports
The team scored Warriors points in yesterday's game against Smith,sports,0.805,sports,sports,,False,sports
Actor five will star in the upcoming five film,entertainment,0.77,entertainment,entertainment,,False,entertainment
Director five announced plans for a Action Hero sequel,entertainment,0.89,entertainment,entertainment,,False,entertainment
Director five announced plans for a five sequel,entertainment,0.806,entertainment,entertainment,,False,entertainment
The team scored Smith points in yesterday's game against Johnson,sports,0.754,sports,sports,,False,sports
The movie Hollywood Bowl grossed Action Hero million at the box office,entertainment,0.726,entertainment,entertainment,,False,entertainment
Coach Lakers announced new training strategies for the season,sports,0.79,sports,sports,,False,sports
The concert at five arena sold out in five minutes,entertainment,0.766,entertainment,entertainment,,False,entertainment
The team scored Lakers points in yesterday's game against Lakers,tech,0.834,sports,sports,rule_suggests_sports_but_llm_predicted_tech,True,sports
Voters lined up early to cast ballots in the election election,politics,0.795,politics,politics,,False,politics
Warriors player Smith made an incredible save during the match,sports,0.907,sports,sports,,False,sports
The new iPhone smartphone features algorithm and improved battery life,tech,0.915,tech,tech,,False,tech
Voters lined up early to cast ballots in the Wilson election,politics,0.876,politics,politics,,False,politics
Developers released version Google of the popular cloud software,sports,0.893,tech,tech,rule_suggests_tech_but_llm_predicted_sports,True,tech
Artificial intelligence can now AI with Google percent accuracy,tech,0.914,tech,tech,,False,tech
Developers released version iPhone of the popular algorithm software,tech,0.795,tech,tech,,False,tech
Developers released version iPhone of the popular algorithm software,tech,0.909,tech,tech,,False,tech
Artificial intelligence can now iPhone with AI percent accuracy,tech,0.789,tech,tech,,False,tech
Developers released version cloud of the popular AI software,tech,0.875,tech,tech,,False,tech
Developers released version iPhone of the popular cloud software,tech,0.718,tech,tech,,False,tech
The movie five grossed Mystery Night million at the box office,entertainment,0.834,entertainment,entertainment,,False,entertainment
Warriors defeated Smith in a thrilling overtime victory,sports,0.816,sports,sports,,False,sports
Actor Johnson will star in the upcoming Mystery Night film,entertainment,0.931,entertainment,entertainment,,False,entertainment
Senator election announced new legislation regarding healthcare policy,politics,0.755,politics,politics,,False,politics
Actor Mystery Night will star in the upcoming Mystery Night film,entertainment,0.892,entertainment,entertainment,,False,entertainment
Congress passed the new Johnson bill with majority support,sports,0.901,politics,politics,rule_suggests_politics_but_llm_predicted_sports,True,politics
The movie Hollywood Bowl grossed Mystery Night million at the box office,entertainment,0.717,entertainment,entertainment,,False,entertainment
Actor Hollywood Bowl will star in the upcoming Johnson film,entertainment,0.842,entertainment,entertainment,,False,entertainment
The new algorithm smartphone features algorithm and improved battery life,tech,0.753,tech,tech,,False,tech
The startup raised algorithm million dollars for their cloud platform,tech,0.921,tech,tech,,False,tech
Developers released version AI of the popular iPhone software,tech,0.736,tech,tech,,False,tech
Director Hollywood Bowl announced plans for a five sequel,tech,0.84,entertainment,entertainment,rule_suggests_entertainment_but_llm_predicted_tech,True,entertainment
The new AI smartphone features Google and improved battery life,tech,0.846,tech,tech,,False,tech
Coach Smith announced new training strategies for the season,sports,0.8,sports,sports,,False,sports
The president will address the nation about healthcare tomorrow,politics,0.949,politics,politics,,False,politics
Coach Johnson announced new training strategies for the season,sports,0.723,sports,sports,,False,sports
Coach Madison Square Garden announced new training strategies for the season,politics,0.738,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports
The debate between candidates healthcare and election lasted hours,politics,0.87,politics,politics,,False,politics
The new Google smartphone features algorithm and improved battery life,tech,0.796,tech,tech,,False,tech
The championship final will be held at Johnson stadium next week,sports,0.817,sports,sports,,False,sports
The concert at Mystery Night arena sold out in Action Hero minutes,entertainment,0.838,entertainment,entertainment,,False,entertainment
Developers released version Google of the popular cloud software,tech,0.87,tech,tech,,False,tech
The debate between candidates election and Johnson lasted hours,entertainment,0.888,politics,politics,rule_suggests_politics_but_llm_predicted_entertainment,True,politics
Smith defeated Lakers in a thrilling overtime victory,sports,0.785,sports,sports,,False,sports
Coach Warriors announced new training strategies for the season,sports,0.74,sports,sports,,False,sports
Coach Smith announced new training strategies for the season,entertainment,0.919,sports,sports,rule_suggests_sports_but_llm_predicted_entertainment,True,sports
Actor Hollywood Bowl will star in the upcoming five film,entertainment,0.825,entertainment,entertainment,,False,entertainment
Smith player Smith made an incredible save during the match,sports,0.928,sports,sports,,False,sports
Developers released version algorithm of the popular Google software,tech,0.775,tech,tech,,False,tech
Director Action Hero announced plans for a Johnson sequel,entertainment,0.852,entertainment,entertainment,,False,entertainment
The new Google smartphone features AI and improved battery life,tech,0.891,tech,tech,,False,tech
The championship final will be held at Johnson stadium next week,sports,0.895,sports,sports,,False,sports
Congress passed the new Infrastructure bill with majority support,politics,0.7,politics,politics,,False,politics
The movie Action Hero grossed Hollywood Bowl million at the box office,entertainment,0.705,entertainment,entertainment,,False,entertainment
The startup raised AI million dollars for their AI platform,tech,0.92,tech,tech,,False,tech
The startup raised cloud million dollars for their algorithm platform,tech,0.777,tech,tech,,False,tech
