text,llm_label,confidence,gold_label,rule_label,rule_flag,needs_review,corrected_label,ml_label,ml_confidence,ml_flag,final_label,human_reviewed
The startup raised algorithm million dollars for their cloud platform,tech,0.706,tech,tech,,False,tech,tech,0.725,,tech,False
Artificial intelligence can now AI with AI percent accuracy,tech,0.756,tech,tech,,False,tech,tech,0.652,,tech,False
Cybersecurity experts warn about new AI vulnerability,tech,0.869,tech,tech,,False,tech,tech,0.721,,tech,False
The debate between candidates Johnson and Infrastructure lasted hours,politics,0.722,politics,politics,,False,politics,politics,0.728,,politics,False
Senator Wilson announced new legislation regarding election policy,politics,0.707,politics,politics,,False,politics,politics,0.71,,politics,False
Congress passed the new Wilson bill with majority support,politics,0.826,politics,politics,,False,politics,politics,0.583,,politics,False
Smith defeated Smith in a thrilling overtime victory,politics,0.879,sports,sports,rule_suggests_sports_but_llm_predicted_politics,True,sports,sports,0.665,,sports,True
The team scored Warriors points in yesterday's game against Smith,sports,0.805,sports,sports,,False,sports,sports,0.722,,sports,False
Actor five will star in the upcoming five film,entertainment,0.77,entertainment,entertainment,,False,entertainment,entertainment,0.66,,entertainment,False
Director five announced plans for a Action Hero sequel,entertainment,0.89,entertainment,entertainment,,False,entertainment,entertainment,0.721,,entertainment,False
Director five announced plans for a five sequel,entertainment,0.806,entertainment,entertainment,,False,entertainment,entertainment,0.607,,entertainment,False
The team scored Smith points in yesterday's game against Johnson,sports,0.754,sports,sports,,False,sports,sports,0.696,,sports,False
The movie Hollywood Bowl grossed Action Hero million at the box office,entertainment,0.726,entertainment,entertainment,,False,entertainment,entertainment,0.76,,entertainment,False
Coach Lakers announced new training strategies for the season,sports,0.79,sports,sports,,False,sports,sports,0.749,,sports,False
The concert at five arena sold out in five minutes,entertainment,0.766,entertainment,entertainment,,False,entertainment,entertainment,0.583,,entertainment,False
The team scored Lakers points in yesterday's game against Lakers,tech,0.834,sports,sports,rule_suggests_sports_but_llm_predicted_tech,True,sports,sports,0.688,,sports,True
Voters lined up early to cast ballots in the election election,politics,0.795,politics,politics,,False,politics,politics,0.764,,politics,False
Warriors player Smith made an incredible save during the match,sports,0.907,sports,sports,,False,sports,sports,0.667,,sports,False
The new iPhone smartphone features algorithm and improved battery life,tech,0.915,tech,tech,,False,tech,tech,0.705,,tech,False
Voters lined up early to cast ballots in the Wilson election,politics,0.876,politics,politics,,False,politics,politics,0.775,,politics,False
Developers released version Google of the popular cloud software,sports,0.893,tech,tech,rule_suggests_tech_but_llm_predicted_sports,True,tech,tech,0.732,,tech,True
